Hike_ID,ascent,descent,difficulty,high,latitude,length,location,longitude,low,name,starVotes,stars,summary,url
15,5697,-5696,black,4886,46.1467,29.4,"Amboy, Washington",-122.1831,3248,Loowit Loop,5,5.0,The Loowit Trail full circumnavigation.,https://www.hikingproject.com/trail/7054020/loowit-loop
16,4489,-4488,dblack,8232,46.1467,8.8,"Amboy, Washington",-122.1831,3771,Mount St. Helens Summer Climbing Route: Monitor Ridge,9,4.7,This is a summertime out-and-back route to Mount St. Helens' crater rim. A permit is required.,https://www.hikingproject.com/trail/7034465/mount-st-helens-summer-climbing-route-monitor-ridge
17,1024,-1022,black,3672,46.1372,4.6,"Amboy, Washington",-122.1568,2730,June Lake Loop,2,4.0,A quick hike to the Loowit Trail with via June Lake with views of Mt. St Helens.,https://www.hikingproject.com/trail/7019340/june-lake-loop
18,673,-537,blueBlack,4829,46.1955,3.7,"Morton, Washington",-122.135,4192,Loowit #216: Ape Canyon - Windy,1,5.0,Scenic connector trail that rolls along wide open pumice fields at the remnants of the blast zone.,https://www.hikingproject.com/trail/7010439/loowit-216-ape-canyon-windy
19,325,-213,blueBlack,4890,46.1935,1.9,"Morton, Washington",-122.2372,4621,Loowit #216: Sheep Canyon - Butte Camp,1,5.0,Bob above and below tree line on this rugged trail.,https://www.hikingproject.com/trail/7010435/loowit-216-sheep-canyon-butte-camp
20,4469,-14,black,8264,46.159,2.8,"Amboy, Washington",-122.1758,3809,Worm Flows Climbing Route,3,4.7,The Worm Flows Climbing Route is the main way to the summit of Mount St. Helens during winter and early spring.,https://www.hikingproject.com/trail/7035047/worm-flows-climbing-route
21,2798,-1149,greenBlue,3474,45.9403,11.5,"Amboy, Washington",-122.2291,1171,Siouxon Creek,5,4.2,Excellent singletrack in a beautiful old-growth forest with stunning scenery.,https://www.hikingproject.com/trail/7034627/siouxon-creek
22,683,-11,greenBlue,3402,46.1371,1.5,"Amboy, Washington",-122.1569,2730,June Lake Trail #216B,3,4.3,An easy forest trail to June Lake that gets steep leading to the intersection with the Loowit Trail.,https://www.hikingproject.com/trail/7019349/june-lake-trail-216b
23,3580,-21,black,8278,46.1649,2.5,"Amboy, Washington",-122.1906,4719,Monitor Ridge Climbing Route,2,4.0,This is a summertime out-and-back route to Mount St. Helens' crater rim. Permit required.,https://www.hikingproject.com/trail/7034998/monitor-ridge-climbing-route
24,3440,-1865,blue,4063,45.9423,9.3,"Amboy, Washington",-122.2081,996,Huffman Peak Trail #129,1,4.0,This is a long traverse of Huffman and Siouxon Peaks with views of Northwest volcanos.,https://www.hikingproject.com/trail/7041992/huffman-peak-trail-129
25,291,-332,blueBlack,4800,46.1753,2.1,"Amboy, Washington",-122.2175,4576,Loowit #216: Butte Camp - Ptarmigan,1,4.0,Contour around Mt. Saint Helens' southern flanks and over the massive Swift Creek Lava Flow.,https://www.hikingproject.com/trail/7010436/loowit-216-butte-camp-ptarmigan
26,76,-1402,black,4731,46.165,2.9,"Amboy, Washington",-122.1906,3404,Loowit #216: Ptarmigan - June Lake,1,4.0,Meander through subalpine forest and across lava flows as you descend to June Lake.,https://www.hikingproject.com/trail/7010437/loowit-216-ptarmigan-june-lake
27,996,0,blue,3670,46.1308,2.3,"Amboy, Washington",-122.1715,2674,Swift Ski Trail #244,2,3.5,This is the main winter trail used to access the Worm Flows Climbing Route.,https://www.hikingproject.com/trail/7019423/swift-ski-trail-244
28,23,-1383,black,4747,46.1754,2.9,"Amboy, Washington",-122.2176,3388,Butte Camp,2,3.5,Needs Summary,https://www.hikingproject.com/trail/7064362/butte-camp
29,951,-2,blue,4715,46.1467,2.0,"Amboy, Washington",-122.1831,3767,Ptarmigan Trail,1,3.0,A moderate climb leads through beautiful forest on the way to either Monitor Ridge or the Loowit Trail.,https://www.hikingproject.com/trail/7034988/ptarmigan-trail
30,1246,-443,blue,4509,46.1538,4.2,"Amboy, Washington",-122.1575,3387,Loowit #216: June Lake - Ape Canyon,1,3.0,An easily accessible section of the longer Loowit Trail.,https://www.hikingproject.com/trail/7010438/loowit-216-june-lake-ape-canyon
31,1709,-1024,black,4696,46.2149,4.0,"Morton, Washington",-122.2459,3242,Loowit #216: Castle Ridge - Sheep Canyon,1,3.0,A rugged section of the Loowit Trail that descends from Castle Ridge to the river.,https://www.hikingproject.com/trail/7010434/loowit-216-castle-ridge-sheep-canyon
32,2225,-2442,black,3493,45.9609,6.6,"Amboy, Washington",-122.1297,1299,Horseshoe Ridge,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064685/horseshoe-ridge
33,2549,-1791,blue,3960,46.1435,10.9,"Amboy, Washington",-122.2932,2479,Toutle Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065871/toutle-trail
34,706,-738,greenBlue,3452,46.1415,4.7,"Amboy, Washington",-122.1198,2795,Sasquatch,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065542/sasquatch
35,2298,-1173,blueBlack,3446,46.1437,6.8,"Amboy, Washington",-122.3238,2056,Fossil,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064629/fossil
36,1755,-38,black,3218,45.8142,3.2,"Yacolt, Washington",-122.244,1473,Summit Springs Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065535/summit-springs-trail
37,1204,-1444,greenBlue,3275,46.1185,9.8,"Amboy, Washington",-122.206,2054,Kalama Ski Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064817/kalama-ski-trail
38,37,-1284,black,4639,46.1935,2.1,"Morton, Washington",-122.2372,3392,Sheep Canyon Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065538/sheep-canyon-trail
39,2672,-1397,black,3836,46.1437,7.5,"Amboy, Washington",-122.3238,2016,Cinnamon,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064482/cinnamon
40,75,-81,green,2659,46.1301,1.1,"Amboy, Washington",-122.1703,2589,Marble Mountain XC Ski Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065061/marble-mountain-xc-ski-loop
41,1883,-62,black,3452,45.8239,3.7,"Yacolt, Washington",-122.1652,1618,East Fork,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064561/east-fork
42,1357,-103,blue,3983,46.1423,5.0,"Amboy, Washington",-122.2674,2712,Blue Lake Horse,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064385/blue-lake-horse
43,704,-372,blue,3060,46.1314,3.3,"Amboy, Washington",-122.1692,2474,West Fork Snowmobile Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065799/west-fork-snowmobile-trail
44,102,-36,green,2946,46.1546,1.0,"Amboy, Washington",-122.2734,2864,Goat Marsh,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064797/goat-marsh
45,63,-70,green,2693,46.1356,1.2,"Amboy, Washington",-122.1575,2627,Beaver Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064252/beaver-loop
46,152,-97,green,2787,46.1312,1.8,"Amboy, Washington",-122.1704,2686,Pine Martin Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065257/pine-martin-trail
47,257,-257,blue,2835,46.1657,1.2,"Amboy, Washington",-122.0883,2577,Lava Canyon Loop,1,4.0,A loop around the interpretive Lava Canyon Trail.,https://www.hikingproject.com/trail/7058614/lava-canyon-loop
48,588,-2927,black,4500,46.2503,10.2,"Morton, Washington",-122.137,1714,Smith Creek Trail #225,1,5.0,A steep descent through Mt St. Helens's pumice to the canyon below.,https://www.hikingproject.com/trail/7036589/smith-creek-trail-225
49,1569,-256,blueBlack,4187,46.1654,4.6,"Amboy, Washington",-122.0922,2875,Ape Canyon Trail,2,4.5,A climb up the base of Mt. St. Helens.,https://www.hikingproject.com/trail/7035605/ape-canyon-trail
50,1507,-113,blue,2873,45.9599,3.4,"Amboy, Washington",-122.1167,1480,Chinook Creek Trail #130A,1,4.0,This trail passes Chinook Creek Waterfall and climbs through old growth forest to the Huffman Peak Trail #129.,https://www.hikingproject.com/trail/7041999/chinook-creek-trail-130a
51,2531,-334,dblack,3815,45.961,2.8,"Amboy, Washington",-122.1306,1419,Wildcat Trail #156,2,3.0,"A short, but steep, trail from Siouxon Creek  past Wildcat Falls, to the Huffman Peak Trail #129.",https://www.hikingproject.com/trail/7042002/wildcat-trail-156
52,18,-1137,blueBlack,2836,46.1657,2.5,"Amboy, Washington",-122.0883,1718,Lava Canyon Trail #184,1,3.0,Needs Summary,https://www.hikingproject.com/trail/7059026/lava-canyon-trail-184
53,1181,-31,blue,2900,46.1875,3.4,"Morton, Washington",-122.0609,1731,FR 83 Extension,1,2.0,A decommissioned fire road transitioning to singletrack.,https://www.hikingproject.com/trail/7036590/fr-83-extension
54,2981,-597,black,4182,45.8843,5.8,"Stevenson, Washington",-121.999,1286,Soda Peaks Lake,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065474/soda-peaks-lake
55,105,-103,greenBlue,2755,46.1351,1.4,"Amboy, Washington",-122.1456,2656,Wapiti Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065800/wapiti-loop
56,1704,-1704,blue,2006,45.8817,7.6,"Stevenson, Washington",-121.9802,1150,Trapper Creek Out-and-Back,2,4.5,Old growth forest trail.,https://www.hikingproject.com/trail/7051377/trapper-creek-out-and-back
57,27424,-23213,blueBlack,7187,45.6618,149.2,"Cascade Locks, Oregon",-121.8975,103,PCT: Cascade Locks to Highway 12 (at White Pass),3,4.3,A section of the Pacific Crest Trail that climbs into the mountains from the Bridge of the Gods.,https://www.hikingproject.com/trail/7009489/pct-cascade-locks-to-highway-12-at-white-pass
58,726,-3391,blueBlack,3869,45.9297,8.2,"Amboy, Washington",-122.0357,1160,Trapper Creek Trail #192,1,4.0,Hike through lush old growth forest and by waterfalls in solitude.,https://www.hikingproject.com/trail/7051379/trapper-creek-trail-192
59,909,-3124,black,4040,45.9496,7.6,"Amboy, Washington",-122.0395,1325,Observation Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065242/observation-trail
60,392,-20,green,1547,45.8824,3.9,"Stevenson, Washington",-121.9799,1175,Dry Creek,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064549/dry-creek
61,2548,-943,blueBlack,3702,45.9198,6.4,"Stevenson, Washington",-121.9648,2063,Paradise Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065259/paradise-trail
62,2289,-8,black,3810,45.927,3.2,"Stevenson, Washington",-121.9816,1528,Big Hollow,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064391/big-hollow
63,2307,-377,blueBlack,3741,46.1781,5.6,"Morton, Washington",-122.0508,1577,Smith Creek Butte,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065633/smith-creek-butte
64,1134,-879,black,3692,45.971,3.4,"Amboy, Washington",-122.013,3015,Paradise Hills Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065307/paradise-hills-trail
65,1912,-300,black,3613,45.9054,2.3,"Amboy, Washington",-122.0326,1858,Sunshine,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065412/sunshine
66,104,-119,greenBlue,1363,46.1119,1.1,"Amboy, Washington",-122.0184,1265,Cedar Flats,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064523/cedar-flats
67,315,-273,blue,3638,45.9155,1.5,"Amboy, Washington",-122.0297,3401,Rim Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065410/rim-trail
68,18,-491,blue,1671,45.8221,1.6,"Stevenson, Washington",-121.9789,1179,Natural Area Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065380/natural-area-trail
69,2349,-142,blue,3564,45.9084,9.9,"Stevenson, Washington",-121.9465,1356,Falls Creek #152,3,4.7,"Adopt me, please!",https://www.hikingproject.com/trail/7018002/falls-creek-152
70,617,-4,blue,2031,45.9058,1.6,"Stevenson, Washington",-121.9398,1414,Falls Creek #152A,6,4.3,Needs adoption!,https://www.hikingproject.com/trail/7018003/falls-creek-152a
71,808,-176,greenBlue,4814,46.0058,3.5,"Carson, Washington",-121.8391,4075,Thomas Lake Trail #111,1,4.0,Connects the Thomas Lake Trailhead to the PCT past several wonderful lakes.,https://www.hikingproject.com/trail/7041980/thomas-lake-trail-111
72,1073,-130,greenBlue,5061,46.0488,3.2,"Carson, Washington",-121.8095,4048,Placid Lake Trail #29,1,4.0,Short access to the Pacific Crest Trail through colorful alpine meadows.,https://www.hikingproject.com/trail/7041985/placid-lake-trail-29
73,1527,-899,blue,1805,46.0623,14.0,"Stevenson, Washington",-121.967,1145,Lewis River Trail #31,1,3.0,Needs Summary,https://www.hikingproject.com/trail/7061079/lewis-river-trail-31
74,1343,-92,blue,4806,45.9681,3.2,"Carson, Washington",-121.8464,3554,Indian Race Track Trail #171,1,3.0,Westside access to the Indian Race Track and the Red Mountain Lookout.,https://www.hikingproject.com/trail/7041986/indian-race-track-trail-171
75,693,-807,green,3284,45.9975,8.5,"Stevenson, Washington",-121.9126,2727,Hard Time Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064679/hard-time-loop
76,3214,-732,blue,4267,46.1826,9.9,"Carson, Washington",-121.8491,1784,Quartz Creek Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065419/quartz-creek-trail
77,747,-236,blue,3556,45.9914,3.6,"Stevenson, Washington",-121.9139,3003,Old Man Pass Trail #154,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065778/old-man-pass-trail-154
78,716,-112,green,3823,46.0439,5.5,"Carson, Washington",-121.8595,3190,Lone Butte Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064926/lone-butte-loop
79,36,-1142,greenBlue,4017,46.0004,4.3,"Carson, Washington",-121.8474,2911,Terminator Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065883/terminator-trail
80,639,-8,black,1894,45.8105,1.1,"Stevenson, Washington",-121.9319,1262,Bunker Hill Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064194/bunker-hill-trail
81,660,-1140,blue,4403,46.1247,4.9,"Carson, Washington",-121.783,3275,Tillicum,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065976/tillicum
82,1137,-264,green,4103,46.0439,8.9,"Carson, Washington",-121.8595,3192,Snow 3200,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065547/snow-3200
83,1866,0,black,3423,46.1441,2.4,"Stevenson, Washington",-121.9034,1557,Bluff,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064246/bluff
84,1603,-2624,black,3735,46.2423,8.7,"Morton, Washington",-121.949,1703,Wright Meadow,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065966/wright-meadow
85,80,-62,green,1219,45.8101,1.3,"Stevenson, Washington",-121.943,1152,Whistle Punk,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065927/whistle-punk
86,462,-1406,black,3398,46.173,3.7,"Stevenson, Washington",-121.9258,2454,Cussed Hollow,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064411/cussed-hollow
87,549,-14,green,3590,45.9911,3.0,"Stevenson, Washington",-121.8908,3056,McClellan Meadows,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064907/mcclellan-meadows
88,161,-85,green,2985,46.0098,1.6,"Stevenson, Washington",-121.9016,2843,Ski Loops West,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065638/ski-loops-west
89,312,-130,green,3084,46.0176,2.2,"Stevenson, Washington",-121.8983,2816,Ski Loops West,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065482/ski-loops-west
90,810,-751,black,4218,46.176,3.1,"Stevenson, Washington",-121.9266,3408,Spencer Butte,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065418/spencer-butte
91,222,-272,blue,3059,45.9899,1.6,"Stevenson, Washington",-121.9131,2799,Valley Ski,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065928/valley-ski
92,125,-274,green,3060,45.9899,2.4,"Stevenson, Washington",-121.9131,2853,Ski Loop East,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065484/ski-loop-east
93,52,-225,greenBlue,3083,45.9899,1.0,"Stevenson, Washington",-121.9132,2858,Ok Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065236/ok-loop
94,294,-84,blue,3330,46.028,1.2,"Stevenson, Washington",-121.9353,3070,Cut Off,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064454/cut-off
95,2026,-577,blue,5668,46.0287,5.4,"Carson, Washington",-121.6859,3668,Lemei Trail #34,1,4.0,This trail offers direct access to Wapiki Lake and Lemei Rock from the east.,https://www.hikingproject.com/trail/7041989/lemei-trail-34
96,2015,-458,blueBlack,3970,45.7846,5.9,"Carson, Washington",-121.7363,2411,Grassy Knoll,2,3.0,Needs Summary,https://www.hikingproject.com/trail/7064712/grassy-knoll
97,1258,-264,blue,5145,46.0471,3.2,"Carson, Washington",-121.7561,3998,Indian Heaven Trail #33,1,3.0,"A short, but steep, trail leading to Clear Lake and Lemhi Rock.",https://www.hikingproject.com/trail/7041984/indian-heaven-trail-33
98,1806,-57,blue,4765,45.9057,2.5,"Carson, Washington",-121.7041,3016,Little Huckleberry Mountain Trail #49,1,3.0,"An out-and-back to the summit of Little Huckleberry Mountain offers views on Hood, Adams, and other major Cascade peaks.",https://www.hikingproject.com/trail/7045751/little-huckleberry-mountain-trail-49
99,710,-79,greenBlue,4782,45.9813,2.7,"Carson, Washington",-121.7579,4102,East Crater Trail #48,1,3.0,This trail is one of the main access routes into the Indian Heaven Wilderness from the east.,https://www.hikingproject.com/trail/7041982/east-crater-trail-48
100,136,-421,greenBlue,5022,46.0253,2.2,"Carson, Washington",-121.779,4736,Lemei Lake Trail #179,1,3.0,An alternative to the Pacific Crest Trail in the heart of the Indian Heaven Wilderness.,https://www.hikingproject.com/trail/7048257/lemei-lake-trail-179
101,1159,-23,greenBlue,5200,46.048,1.6,"Carson, Washington",-121.7556,4041,Cultus Creek Trail #108,1,3.0,The shorest route from the east to the Pacific Crest Trail.,https://www.hikingproject.com/trail/7048267/cultus-creek-trail-108
102,516,-189,green,3966,46.0243,4.2,"White Salmon, Washington",-121.6429,3571,Service Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065423/service-trail
103,3643,-913,black,5210,46.1972,8.1,"Carson, Washington",-121.7444,2379,Summit Prairie Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065426/summit-prairie-trail
104,636,-380,black,5230,46.0783,1.7,"Carson, Washington",-121.772,4615,Sawtooth,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065635/sawtooth
105,916,-1234,blue,4351,46.0932,5.9,"Carson, Washington",-121.7617,3512,Middle Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065016/middle-trail
106,1077,-20,blueBlack,4655,46.085,1.1,"Carson, Washington",-121.6576,3598,Sleeping Beauty,3,4.0,Needs Summary,https://www.hikingproject.com/trail/7065437/sleeping-beauty
107,372,-364,greenBlue,3013,45.9625,4.4,"White Salmon, Washington",-121.6121,2685,Ice Caves Loop,1,3.0,Needs Summary,https://www.hikingproject.com/trail/7064811/ice-caves-loop
108,1279,-2654,black,3939,45.8918,6.2,"White Salmon, Washington",-121.574,1732,Monte Carlo,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064951/monte-carlo
109,733,-87,green,3539,45.965,3.4,"White Salmon, Washington",-121.6354,2892,Peterson Ridge Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065249/peterson-ridge-trail
110,247,-221,greenBlue,3188,45.9658,2.6,"White Salmon, Washington",-121.6486,2985,Natural Bridges Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065331/natural-bridges-loop
111,314,-240,blue,4735,46.2104,1.8,"White Salmon, Washington",-121.6137,4450,Riley South,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065616/riley-south
112,6687,-6686,black,12237,46.1358,11.8,"White Salmon, Washington",-121.4978,5563,Mount Adams South Climb (Lunch Counter Approach),12,4.6,The South Climb (Lunch Counter Approach) is the least technical route up Mount Adams.,https://www.hikingproject.com/trail/7036712/mount-adams-south-climb-lunch-counter-approach
113,1784,-182,greenBlue,5795,46.14,4.3,"White Salmon, Washington",-121.5974,4192,Stagman Ridge Trail #12,1,3.0,This is an alternative approach to the Pacific Crest Trail and Lookingglass Lake on the west side of Mount Adams.,https://www.hikingproject.com/trail/7045757/stagman-ridge-trail-12
114,908,-607,greenBlue,6401,46.1798,7.9,"White Salmon, Washington",-121.5688,5883,Round the Mountain,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065565/round-the-mountain
115,957,-303,blue,3446,46.0581,3.7,"White Salmon, Washington",-121.542,2654,Buck Creek Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064256/buck-creek-trail
116,1767,0,black,8297,46.1505,1.6,"White Salmon, Washington",-121.4889,6530,South Climb,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065573/south-climb
117,399,-876,greenBlue,4200,46.1213,5.0,"White Salmon, Washington",-121.5607,3376,Morrison Creek,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064954/morrison-creek
118,382,-486,greenBlue,2864,46.0493,4.5,"White Salmon, Washington",-121.5014,2583,Big Tree Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064299/big-tree-loop
119,2516,-34,black,6273,46.0931,5.1,"White Salmon, Washington",-121.4799,3791,Snipes Mountain,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065644/snipes-mountain
120,16,-1753,blueBlack,5515,46.1345,3.5,"White Salmon, Washington",-121.4943,3763,Cold Springs,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064421/cold-springs
121,1544,0,blueBlack,6174,46.1286,3.0,"White Salmon, Washington",-121.5166,4630,Shorthorn,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065620/shorthorn
122,71,-696,greenBlue,3394,46.0891,2.7,"White Salmon, Washington",-121.5352,2769,Wicky Creek Trail #38,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065791/wicky-creek-trail-38
123,308,-151,blue,2908,46.0485,1.3,"White Salmon, Washington",-121.5004,2725,Eagle Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064656/eagle-loop
124,966,-424,blue,3806,46.1042,3.5,"White Salmon, Washington",-121.6047,3138,Salt Creek Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065439/salt-creek-trail
125,615,-108,blue,4866,46.1028,2.7,"White Salmon, Washington",-121.434,4306,Pine Way Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065367/pine-way-trail
126,402,-1429,black,4273,45.9244,3.1,"White Salmon, Washington",-121.5824,3123,Monte Cristo,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065029/monte-cristo
127,699,-340,blue,4755,46.1213,2.8,"White Salmon, Washington",-121.5608,4223,Crofton Ridge,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064435/crofton-ridge
128,384,-95,green,3161,46.0588,2.3,"White Salmon, Washington",-121.5368,2809,Big Tree,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064340/big-tree
129,510,-510,greenBlue,3271,46.0539,4.9,"White Salmon, Washington",-121.4724,2943,Lava Xc Loop,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064968/lava-xc-loop
130,317,-323,greenBlue,3571,46.0626,2.2,"White Salmon, Washington",-121.4814,3254,Pipeline Xc Loop Trail,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065226/pipeline-xc-loop-trail
131,1054,-41,blueBlack,4617,46.0864,2.9,"White Salmon, Washington",-121.4916,3589,Gotchen Creek,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7064722/gotchen-creek
132,65,-76,green,1890,45.9801,1.1,"White Salmon, Washington",-121.3455,1835,Willard Springs Foot Trail West,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065962/willard-springs-foot-trail-west
133,94,-96,green,1870,45.9661,1.6,"White Salmon, Washington",-121.342,1827,Willard Springs Foot Trail East,0,0.0,Needs Summary,https://www.hikingproject.com/trail/7065894/willard-springs-foot-trail-east
134,370,-58,green,470,45.6974,13.8,"Dallesport, Washington",-121.2898,146,Klickitat Trail: Klickitat River Segment,3,4.0,A rails-to-trails conversion that follows the Klickitat River.,https://www.hikingproject.com/trail/7029664/klickitat-trail-klickitat-river-segment
